Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Debt Payoff Tracker, Snowball Avalanche Calculator, Credit Card Tracker, Home Loan, Student Loan, Debt-Free Planner (Google Sheets & Excel)",https://www.etsy.com/listing/1762787854/debt-payoff-tracker-snowball-avalanche,JrenDigital,https://www.etsy.com/shop/JrenDigital,11.86,212,2514,29,8947,622,23 Mo.,3240,27,130019,Paper & Party Supplies,41,100,6.88,80099,"financial planner,debt payoff tracker,debt snowball,debt payoff chart,debt payment tracker,credit card payoff,debt template,debt avalanche,student loan debt,google sheets budget,mortgage payoff,credit utilization,credit score debt",financial planner,debt payoff tracker,debt snowball,debt payoff chart,debt payment tracker,credit card payoff,debt template,debt avalanche,student loan debt,google sheets budget,mortgage payoff,credit utilization,credit score debt
Debt Payoff Tracker Debt Snowball Excel Debt Avalanche Calculator Google Sheets Credit Card Loan Tracker Credit Card Payoff Mortgage Payment,https://www.etsy.com/listing/1844117537/debt-payoff-tracker-debt-snowball-excel,PrioriDigitalStudio,https://www.etsy.com/shop/PrioriDigitalStudio,9.95,82,815,167,2234,102,19 Mo.,519,5,24967,Paper & Party Supplies,40,100,8.95,167903,"credit utilization,debt avalanche,mortgage payoff,credit card payoff,debt payoff chart,debt snowball,student loan debt,debt payment tracker,debt template,financial planner,credit score debt,debt payoff tracker,credit score focus",credit utilization,debt avalanche,mortgage payoff,credit card payoff,debt payoff chart,debt snowball,student loan debt,debt payment tracker,debt template,financial planner,credit score debt,debt payoff tracker,credit score focus
Debt Payoff Tracker Debt Snowball Avalanche Calculator Google Sheet Loan Credit Card Tracker Payoff Debt Free Financial Planner Debt Payment,https://www.etsy.com/listing/4312360157/debt-payoff-tracker-debt-snowball,DesignFestivals,https://www.etsy.com/shop/DesignFestivals,3.99,168,670,-54,1287,61,14 Mo.,552,4,20122,,14,100,6.4,7934,"debt payoff tracker,debt snowball,debt payoff chart,debt payment tracker,credit card payoff,debt template,debt avalanche,personal finances,financial planner,student loan debt,debt google sheets,mortgage payoff,credit utilization",debt payoff tracker,debt snowball,debt payoff chart,debt payment tracker,credit card payoff,debt template,debt avalanche,personal finances,financial planner,student loan debt,debt google sheets,mortgage payoff,credit utilization
"Debt-Free Planner Snowball, Avalanche, Custom, Credit Score Focus | Loan Tracker, Credit Card, Student Loan | Google Sheets Excel Dark Mode",https://www.etsy.com/listing/4353097155/debt-free-planner-snowball-avalanche,JrenDigital,https://www.etsy.com/shop/JrenDigital,11.86,43,510,50,258,18,11 Mo.,75,2,3027,Paper & Party Supplies,41,72,8.52,80099,"financial planner,debt payoff tracker,debt snowball,debt payoff chart,debt payment tracker,credit card payoff,debt avalanche,mortgage payoff,credit utilization,credit score debt,excel debt tracker,student loan tracker,debt tracker custom",financial planner,debt payoff tracker,debt snowball,debt payoff chart,debt payment tracker,credit card payoff,debt avalanche,mortgage payoff,credit utilization,credit score debt,excel debt tracker,student loan tracker,debt tracker custom
Real Estate Investment Portfolio Tracker Google Sheets Loan Spreadsheet Personal Finance Tracker Mortgage Rental Property Management Planner,https://www.etsy.com/listing/4407050844/real-estate-investment-portfolio-tracker,RoveraStudio,https://www.etsy.com/shop/RoveraStudio,22.22,19,422,0,23,2,8 Mo.,27,0,672,Paper & Party Supplies,21,33,3.42,1459,"real estate planner,realtor planner,real estate agent,loan tracker,rental tracker,landlord spreadsheet,rental property,property spreadsheet,property management,expense tracker,real estate template,property rental,google sheets",real estate planner,realtor planner,real estate agent,loan tracker,rental tracker,landlord spreadsheet,rental property,property spreadsheet,property management,expense tracker,real estate template,property rental,google sheets
Debt Snowball Avalanche Calculator Spreadsheet Custom Debt Payoff Strategy Tracker Credit Card Loan Mortgage Excel & Google Sheets Debt Free,https://www.etsy.com/listing/4334780350/debt-payoff-tracker-debt-snowball-excel,PrioriDigitalStudio,https://www.etsy.com/shop/PrioriDigitalStudio,9.95,31,310,-100,253,17,12 Mo.,95,1,4499,Paper & Party Supplies,40,90,5.62,167903,"debt snowball excel,debt avalanche sheet,snowball calculator,avalanche calculator,payoff strategy tool,debt payoff tracker,loan tracker,debt method tracker,debt calculator,mortgage planner,debt payoff system,payoff plan custom,debt plan calculator",debt snowball excel,debt avalanche sheet,snowball calculator,avalanche calculator,payoff strategy tool,debt payoff tracker,loan tracker,debt method tracker,debt calculator,mortgage planner,debt payoff system,payoff plan custom,debt plan calculator
Apple Numbers Debt Payoff Tracker Debt Snowball Avalanche Calculator Credit Card Debt Student Loan Template Mortgage Debt Free Planner iPad,https://www.etsy.com/listing/4484561895/apple-numbers-debt-payoff-tracker-debt,BrightFoxCreation,https://www.etsy.com/shop/BrightFoxCreation,15.98,18,288,0,32,2,3 Mo.,17,1,492,,15,45,6.5,6150,"debt payoff tracker,snowball spreadsheet,debt payment tracker,student loan payoff,house debt payoff,debt repayment,mortgage payment,car payoff tracker,debt free planner,debt payoff template,debt avalanche track,debt apple number,credit card debt",debt payoff tracker,snowball spreadsheet,debt payment tracker,student loan payoff,house debt payoff,debt repayment,mortgage payment,car payoff tracker,debt free planner,debt payoff template,debt avalanche track,debt apple number,credit card debt
Debt Payoff Calculator Dark Mode Snowball Avalanche Custom Google Sheets Credit Card Loan Mortgage Payment Tracker Debt Repayment Planner,https://www.etsy.com/listing/4446706788/debt-payoff-calculator-dark-mode,SmartKitDesigns,https://www.etsy.com/shop/SmartKitDesigns,11.99,22,264,0,15,1,6 Mo.,7,0,270,,12,0,5.56,1666,"debt google sheets,debt spreadsheet,debt snowball,debt calculator,mortgage payoff,debt payoff tracker,dark mode tracker,budget planner,credit card debt,financial planner,student loan payoff,debt avalanche,debt payment tracker",debt google sheets,debt spreadsheet,debt snowball,debt calculator,mortgage payoff,debt payoff tracker,dark mode tracker,budget planner,credit card debt,financial planner,student loan payoff,debt avalanche,debt payment tracker
Debt Payoff Calculator Snowball Avalanche Custom Google Sheets Credit Card Loan Mortgage Payment Tracker Debt Repayment Personal Finance,https://www.etsy.com/listing/4446336167/debt-payoff-calculator-snowball,SmartKitDesigns,https://www.etsy.com/shop/SmartKitDesigns,11.99,16,192,-100,15,1,6 Mo.,4,0,205,,12,0,7.32,1666,"debt google sheets,debt snowball,debt calculator,mortgage payoff,debt spreadsheet,debt payoff tracker,budget planner,credit card debt,financial planner,student loan payoff,debt avalanche,google sheets budget,debt payment tracker",debt google sheets,debt snowball,debt calculator,mortgage payoff,debt spreadsheet,debt payoff tracker,budget planner,credit card debt,financial planner,student loan payoff,debt avalanche,google sheets budget,debt payment tracker
Debt Payoff Tracker Debt Snowball Avalanche Calculator Google Sheets Credit Card Loan Debt Template Financial Template Planner Spreadsheet,https://www.etsy.com/listing/1822496181/debt-payoff-tracker-debt-snowball,TheWeeklyCrew,https://www.etsy.com/shop/TheWeeklyCrew,7.36,24,177,0,1259,104,20 Mo.,630,5,27934,Paper & Party Supplies,49,100,4.51,153206,"debt payment tracker,debt snowball,debt avalanche,debt payoff planner,debt calculator,debt google sheets,debt spreadsheet,credit card payoff,student loan tracker,mortgage payoff,loan payoff tracker,credit utilization,dark mode template",debt payment tracker,debt snowball,debt avalanche,debt payoff planner,debt calculator,debt google sheets,debt spreadsheet,credit card payoff,student loan tracker,mortgage payoff,loan payoff tracker,credit utilization,dark mode template
"Mortgage Payoff Planner Spreadsheet, Pay Off Mortgage Faster, Extra Payment Calculator, Amortization Schedule, Refinance Analyzer",https://www.etsy.com/listing/4512281874/mortgage-payoff-planner-spreadsheet-pay,SellerKitLab,https://www.etsy.com/shop/SellerKitLab,6.99,24,168,0,23,1,2 Mo.,4,1,174,,2,33,13.22,260,"mortgage payoff,mortgage planner,payoff calculator,extra payment,amortization,home loan tracker,refinance planner,equity tracker,debt payoff,mortgage tracker,finance tracker,excel planner,google sheets",mortgage payoff,mortgage planner,payoff calculator,extra payment,amortization,home loan tracker,refinance planner,equity tracker,debt payoff,mortgage tracker,finance tracker,excel planner,google sheets
Mortgage Payoff Tracker Spreadsheet | Amortization Schedule | Extra Payment Calculator | Google Sheets Template,https://www.etsy.com/listing/4469956431/mortgage-payoff-tracker-spreadsheet,thedashboardstudioco,https://www.etsy.com/shop/thedashboardstudioco,7.81,14,109,200,45,8,4 Mo.,45,2,1939,,6,100,2.32,109,"mortgage tracker,mortgage payoff,mortgage spreadsheet,mortgage calculator,amortization sheet,mortgage planner,loan payoff tracker,extra payment calc,mortgage dashboard,homeowner planner,financial tracker,google sheets tool,mortgage template",mortgage tracker,mortgage payoff,mortgage spreadsheet,mortgage calculator,amortization sheet,mortgage planner,loan payoff tracker,extra payment calc,mortgage dashboard,homeowner planner,financial tracker,google sheets tool,mortgage template
Debt Tracker Google Sheets Debt Payoff Tracker Snowball Debt Calculator Loan Credit Card Mortgage Payment Credit Score Debt Free Planner,https://www.etsy.com/listing/1484568203/debt-payoff-tracker-debt-snowball-excel,PrioriDigitalStudio,https://www.etsy.com/shop/PrioriDigitalStudio,9.95,7,70,100,396,45,38 Mo.,173,1,5145,Paper & Party Supplies,40,42,7.7,167903,"debt tracker,debt payoff plan,debt snowball,debt avalanche,credit card debt,loan tracker,mortgage tracker,credit utilization,finance tracker,loan payoff,payoff tracker,debt calculator,easy debt plan",debt tracker,debt payoff plan,debt snowball,debt avalanche,credit card debt,loan tracker,mortgage tracker,credit utilization,finance tracker,loan payoff,payoff tracker,debt calculator,easy debt plan
